Month,Unemployment_rate,indeed jobs: (United States),jobs near me: (United States),amazon jobs: (United States),jobs hiring near me: (United States),usaa jobs: (United States),work from home jobs: (United States),part time jobs near me: (United States),walmart careers: (United States),handshake: (United States),jobs: (United States),government jobs: (United States),amazon careers: (United States),online jobs: (United States),career: (United States),work from home: (United States),linkedin jobs: (United States),remote jobs: (United States),google jobs: (United States),part time jobs: (United States),employment: (United States),google careers: (United States),target careers: (United States),amazon force: (United States),hiring near me: (United States),ups jobs: (United States),walmart jobs: (United States),walmart application: (United States),jobs hiring: (United States),ups careers: (United States),freelance: (United States),civil service jobs: (United States),apprenticeship: (United States),data entry jobs: (United States),job search: (United States),job vacancy: (United States),part time: (United States),software engineer: (United States),edjoin: (United States),freelance jobs: (United States),apple home advisor: (United States),target jobs: (United States),places hiring near me: (United States),side hustle: (United States),virtual assistant jobs: (United States),monster jobs: (United States),warehouse jobs near me: (United States),higher ed jobs: (United States),administrative assistant: (United States),microsoft careers: (United States),accenture careers: (United States)
2011-11,-0.20000000000000107,17.0,0.5,8.0,0.5,71,15,0.5,59,15,61,56,13.0,71,58,18,37.0,2.0,45,31,48,43,63,22,0.5,68,70,96,24,68,41,46,46,38,22,12,47,29,47,56,0.5,62,0.5,1.0,10,44,0.5,86,45,58,18
2011-12,-0.09999999999999964,14.0,0.5,7.0,0.5,72,14,0.5,39,12,52,51,11.0,63,49,16,33.0,1.0,40,27,40,35,42,22,0.5,49,52,70,23,47,36,44,47,30,20,13,38,28,40,45,0.5,46,0.5,2.0,7,40,0.0,79,38,54,26
2012-01,-0.1999999999999993,20.0,0.5,7.0,0.5,100,20,0.5,36,14,66,67,14.0,79,67,21,41.0,2.0,52,39,54,55,41,16,0.5,42,59,78,35,41,44,56,58,45,33,17,54,32,56,60,1.0,50,1.0,0.5,13,53,0.5,95,55,73,38
2012-02,0.0,19.0,0.5,6.0,0.5,79,17,0.5,29,16,60,57,13.0,71,63,18,46.0,1.0,47,30,49,45,37,18,0.5,36,54,69,26,40,41,51,61,41,25,16,45,33,52,53,2.0,42,1.0,1.0,10,48,0.0,97,53,60,50
2012-03,-0.10000000000000142,18.0,0.5,5.0,0.5,82,15,0.5,35,14,61,53,13.0,67,56,16,51.0,2.0,44,29,47,44,37,19,0.5,32,45,71,27,40,40,48,56,36,24,18,44,30,68,55,2.0,43,1.0,1.0,10,47,0.0,99,51,59,46
2012-04,0.0,19.0,0.5,6.0,0.5,54,18,0.5,37,14,64,50,11.0,68,59,19,49.0,2.0,47,32,53,46,43,13,0.5,37,53,76,32,43,39,57,56,37,26,17,49,35,79,57,2.0,44,1.0,1.0,12,49,0.5,100,74,60,42
2012-05,0.0,21.0,0.5,6.0,0.5,50,18,0.5,39,14,66,52,12.0,81,55,18,53.0,2.0,47,38,54,43,41,13,0.5,43,54,87,41,56,41,54,56,38,27,20,53,29,94,63,2.0,49,2.0,2.0,13,53,0.5,92,50,63,49
2012-06,0.0,21.0,0.5,7.0,0.5,52,18,0.5,43,12,66,52,14.0,80,52,18,52.0,2.0,46,39,53,43,49,15,1.0,40,56,100,45,50,42,51,56,40,26,18,54,29,100,60,3.0,54,3.0,1.0,12,53,0.0,90,50,62,50
2012-07,0.0,24.0,0.5,8.0,0.5,65,21,0.5,47,11,66,54,16.0,80,50,19,54.0,2.0,46,39,51,44,42,15,1.0,40,57,90,41,51,41,60,55,44,26,24,53,29,90,61,2.0,47,3.0,1.0,16,52,0.5,99,50,59,30
2012-08,-0.09999999999999964,26.0,0.5,8.0,0.5,61,21,0.5,49,13,70,52,14.0,80,54,20,49.0,2.0,49,46,50,53,40,17,1.0,42,59,88,41,52,41,53,57,46,24,20,58,31,89,63,3.0,48,2.0,1.0,12,48,0.0,89,48,63,25
2012-09,-0.2999999999999998,24.0,0.5,7.0,0.5,59,21,0.5,47,17,64,51,15.0,77,65,20,48.0,2.0,49,41,48,47,46,15,0.5,44,55,93,38,52,40,49,56,42,23,20,55,32,61,58,3.0,47,2.0,2.0,13,47,0.0,86,47,74,30
2012-10,0.0,25.0,0.5,9.0,0.5,47,21,0.5,50,14,65,50,17.0,78,61,19,48.0,2.0,56,39,47,59,51,15,1.0,56,55,85,38,66,44,44,56,43,22,25,53,32,63,58,3.0,52,3.0,2.0,13,46,0.0,94,45,71,46
2012-11,-0.09999999999999964,22.0,0.5,8.0,0.5,49,17,0.5,45,12,57,47,14.0,66,55,17,47.0,2.0,48,31,42,49,45,19,1.0,62,56,84,36,68,35,42,52,33,19,20,50,29,52,51,2.0,50,3.0,2.0,11,40,1.0,82,40,55,29
2012-12,0.20000000000000018,19.0,0.5,7.0,0.5,56,14,0.5,32,15,49,42,12.0,58,48,15,44.0,2.0,45,28,35,42,37,26,0.5,45,45,63,32,50,32,42,43,29,17,21,41,25,45,44,2.0,38,2.0,1.0,8,36,0.5,72,34,49,23
2013-01,0.09999999999999964,28.0,0.5,8.0,0.5,66,21,0.5,32,13,67,58,15.0,86,64,20,62.0,2.0,73,50,48,63,37,17,1.0,44,55,69,46,49,42,60,63,39,29,26,60,32,58,61,3.0,41,3.0,1.0,14,49,0.5,94,48,70,37
2013-02,-0.2999999999999998,31.0,0.5,7.0,0.5,58,18,0.5,28,14,60,48,13.0,66,63,20,58.0,2.0,59,36,44,59,31,19,1.0,33,44,56,38,43,40,50,61,34,22,30,50,31,59,53,3.0,36,2.0,1.0,15,42,0.5,95,45,74,46
2013-03,-0.20000000000000018,35.0,0.5,7.0,0.5,72,19,0.5,31,14,59,45,14.0,69,55,19,61.0,2.0,64,37,45,57,32,20,1.0,34,45,61,39,42,37,43,65,36,23,21,50,32,76,50,3.0,37,1.0,1.0,15,40,0.5,96,46,59,37
2013-04,0.09999999999999964,29.0,1.0,7.0,1.0,57,20,0.5,35,16,65,46,16.0,77,57,19,63.0,2.0,67,41,48,67,36,16,1.0,37,49,71,45,50,38,49,59,35,23,24,53,33,82,51,3.0,41,4.0,1.0,14,41,0.5,96,82,66,33
2013-05,-0.09999999999999964,28.0,1.0,7.0,1.0,58,19,0.5,38,15,66,45,16.0,81,53,19,69.0,2.0,76,46,48,61,35,17,1.0,41,53,84,51,50,37,53,65,35,24,21,56,32,93,55,4.0,45,4.0,2.0,16,42,1.0,92,48,62,29
2013-06,0.0,39.0,1.0,8.0,1.0,50,20,1.0,45,13,68,45,16.0,81,49,19,70.0,2.0,79,47,48,66,39,17,1.0,43,59,90,57,55,38,52,61,40,24,18,55,31,94,56,4.0,46,4.0,2.0,13,43,0.5,89,47,66,41
2013-07,-0.20000000000000018,41.0,1.0,12.0,1.0,66,22,0.5,51,13,69,51,23.0,83,50,20,66.0,2.0,77,50,48,70,43,21,1.0,45,59,83,57,57,39,54,58,40,24,20,58,31,79,59,3.0,45,4.0,2.0,17,45,1.0,99,53,65,36
2013-08,-0.09999999999999964,36.0,1.0,11.0,1.0,64,22,0.5,46,13,70,47,23.0,86,55,20,68.0,2.0,80,55,48,72,44,20,1.0,46,58,83,55,55,37,57,61,37,23,19,64,36,78,58,3.0,47,3.0,2.0,15,44,1.0,93,50,63,45
2013-09,0.0,32.0,1.0,9.0,1.0,55,21,1.0,48,17,64,48,19.0,78,64,19,65.0,2.0,81,50,44,76,45,20,1.0,48,60,85,50,59,35,57,58,38,20,12,59,32,60,55,3.0,48,4.0,2.0,13,42,1.0,90,48,70,45
2013-10,0.0,28.0,1.0,11.0,1.0,53,21,1.0,49,16,62,60,21.0,81,60,20,73.0,2.0,90,47,44,84,59,24,1.0,62,57,84,50,78,37,51,57,37,19,15,56,37,56,56,2.0,52,4.0,2.0,14,42,0.5,88,49,73,55
2013-11,-0.2999999999999998,36.0,1.0,10.0,1.0,53,20,1.0,48,14,58,37,20.0,67,52,18,61.0,2.0,83,37,38,73,58,37,1.0,67,61,87,46,78,33,41,55,30,16,12,49,32,41,47,2.0,52,4.0,2.0,11,36,1.0,77,41,65,44
2013-12,-0.20000000000000018,25.0,1.0,10.0,1.0,50,18,0.5,37,16,52,35,19.0,63,48,17,51.0,2.0,77,31,35,61,38,49,2.0,53,51,65,44,63,30,47,53,29,15,12,44,28,34,40,2.0,41,3.0,5.0,10,34,0.5,74,34,52,29
2014-01,-0.10000000000000053,30.0,2.0,10.0,2.0,68,25,1.0,37,14,69,45,20.0,91,62,23,80.0,3.0,100,52,46,86,41,32,2.0,46,55,68,61,58,38,53,70,38,24,20,63,37,56,55,4.0,43,5.0,5.0,16,44,1.0,90,49,71,55
2014-02,0.10000000000000053,44.0,1.0,8.0,2.0,58,20,1.0,31,13,61,44,19.0,70,61,19,75.0,2.0,86,40,41,77,30,24,2.0,37,48,61,47,46,37,50,65,37,18,16,54,39,50,51,3.0,34,3.0,3.0,14,41,0.5,80,46,64,47
2014-03,0.0,33.0,2.0,8.0,2.0,58,21,1.0,34,15,62,43,18.0,70,56,19,78.0,3.0,87,43,43,80,36,22,2.0,38,48,69,49,49,37,50,64,37,19,18,53,37,67,48,4.0,41,5.0,3.0,13,39,1.0,80,48,76,47
2014-04,-0.5,44.0,2.0,9.0,2.0,53,22,1.0,39,14,66,43,18.0,76,58,19,77.0,3.0,93,44,46,86,39,22,3.0,43,48,69,54,54,39,47,66,37,19,23,56,38,75,55,3.0,45,5.0,4.0,14,39,1.0,80,76,72,49
2014-05,0.09999999999999964,40.0,2.0,9.0,3.0,61,21,2.0,43,19,66,45,19.0,79,54,19,74.0,2.0,93,48,45,83,43,18,3.0,46,58,83,58,58,37,53,67,38,18,32,60,37,88,53,4.0,48,8.0,3.0,12,41,1.0,80,50,73,39
2014-06,-0.20000000000000018,32.0,3.0,10.0,3.0,55,22,2.0,44,13,69,47,21.0,79,51,20,78.0,3.0,91,51,44,89,46,22,4.0,50,62,88,63,63,38,47,59,41,19,61,61,36,81,60,3.0,55,10.0,3.0,16,42,1.0,81,47,69,36
2014-07,0.10000000000000053,40.0,3.0,10.0,3.0,70,24,2.0,47,14,70,49,22.0,81,51,21,85.0,3.0,88,51,44,87,50,18,4.0,51,60,82,58,62,40,55,58,43,18,67,61,36,82,65,3.0,52,9.0,3.0,16,42,1.0,78,51,69,41
2014-08,-0.10000000000000053,43.0,3.0,11.0,4.0,62,22,4.0,48,13,65,46,24.0,74,53,19,88.0,3.0,86,55,42,85,46,21,4.0,49,60,82,55,59,37,49,60,40,18,61,64,37,75,56,2.0,45,8.0,3.0,15,40,2.0,73,51,60,37
2014-09,-0.1999999999999993,33.0,3.0,11.0,5.0,67,23,4.0,49,14,64,47,25.0,70,69,20,82.0,3.0,89,51,40,100,54,19,5.0,70,57,82,55,85,37,55,68,37,18,61,62,44,58,51,2.0,50,8.0,3.0,16,39,3.0,74,51,74,61
2014-10,-0.20000000000000018,53.0,4.0,12.0,4.0,54,23,4.0,43,16,60,45,24.0,64,63,19,83.0,3.0,86,45,39,90,58,19,4.0,71,56,85,51,97,35,48,67,37,16,60,57,41,50,46,3.0,51,8.0,2.0,15,36,3.0,74,45,76,54
2014-11,0.09999999999999964,29.0,4.0,12.0,4.0,51,20,3.0,45,19,56,42,24.0,60,54,18,68.0,3.0,74,38,34,80,61,28,4.0,71,60,80,46,100,31,43,63,35,15,71,54,36,41,47,2.0,57,9.0,3.0,15,32,3.0,70,38,62,40
2014-12,-0.20000000000000018,25.0,4.0,11.0,4.0,51,18,3.0,37,15,53,39,20.0,55,50,16,65.0,3.0,63,33,33,75,45,28,4.0,54,52,67,42,77,30,42,55,31,14,68,49,34,38,43,2.0,42,10.0,3.0,12,30,4.0,67,35,46,36
2015-01,0.10000000000000053,32.0,6.0,11.0,6.0,56,25,5.0,39,17,65,49,23.0,74,64,21,82.0,4.0,82,52,40,88,44,21,6.0,47,54,69,55,66,38,55,72,40,19,87,63,41,52,56,3.0,43,15.0,4.0,19,36,5.0,69,46,68,59
2015-02,-0.20000000000000018,38.0,5.0,9.0,5.0,51,21,4.0,35,16,58,44,20.0,62,63,19,82.0,3.0,70,39,37,76,35,21,5.0,37,48,63,42,53,36,47,71,40,16,88,57,45,58,52,4.0,35,10.0,3.0,17,31,5.0,65,45,80,53
2015-03,-0.09999999999999964,42.0,5.0,10.0,5.0,56,22,4.0,44,16,63,47,21.0,64,59,19,86.0,4.0,78,42,39,82,36,20,6.0,37,53,76,46,53,37,49,72,37,16,87,58,45,68,57,3.0,38,9.0,3.0,13,33,6.0,73,50,73,59
2015-04,0.0,32.0,5.0,10.0,4.0,55,21,4.0,48,16,64,47,22.0,65,59,18,88.0,4.0,82,44,42,81,39,23,4.0,41,58,80,47,58,38,47,68,38,15,82,59,47,71,53,4.0,42,10.0,3.0,14,34,4.0,73,78,69,49
2015-05,0.1999999999999993,46.0,6.0,11.0,5.0,53,21,6.0,55,15,64,46,22.0,69,54,19,84.0,4.0,80,49,40,84,46,23,6.0,44,62,84,53,52,38,43,62,40,16,96,60,43,80,56,4.0,49,13.0,4.0,14,33,4.0,70,46,65,36
2015-06,-0.2999999999999998,42.0,7.0,13.0,8.0,61,25,6.0,65,17,68,50,28.0,73,50,21,99.0,4.0,75,54,41,84,51,23,8.0,50,71,100,59,60,39,53,65,45,16,100,64,45,75,60,5.0,56,17.0,5.0,18,35,5.0,71,49,76,52
2015-07,-0.09999999999999964,38.0,7.0,13.0,7.0,57,25,6.0,58,15,67,48,27.0,74,50,22,97.0,4.0,73,50,42,80,51,27,8.0,46,67,88,57,57,38,50,69,40,15,24,63,45,68,65,5.0,53,18.0,3.0,18,38,6.0,71,49,69,49
2015-08,-0.10000000000000053,57.0,8.0,15.0,7.0,63,28,7.0,57,17,69,46,32.0,75,55,24,100.0,5.0,79,56,41,92,52,29,8.0,49,69,85,54,62,38,45,67,42,15,23,67,50,72,56,5.0,48,14.0,3.0,15,36,7.0,68,48,82,45
2015-09,-0.09999999999999964,37.0,8.0,14.0,7.0,59,26,8.0,62,27,64,47,29.0,68,70,23,84.0,4.0,88,53,39,94,54,34,8.0,61,67,83,49,68,42,47,65,41,14,20,64,54,64,58,6.0,51,16.0,3.0,19,34,6.0,68,46,79,53
2015-10,0.0,35.0,7.0,15.0,7.0,56,24,7.0,62,25,62,44,30.0,66,64,20,83.0,4.0,79,47,36,87,56,32,8.0,61,62,87,46,73,36,46,66,38,13,28,60,50,51,57,4.0,49,12.0,4.0,16,30,4.0,64,45,79,50
2015-11,0.09999999999999964,33.0,7.0,16.0,8.0,50,21,7.0,55,24,54,40,27.0,60,55,18,75.0,4.0,62,39,33,73,54,39,9.0,64,64,87,43,65,35,42,60,35,12,63,59,44,42,54,4.0,49,16.0,4.0,17,26,5.0,55,35,67,43
2015-12,-0.09999999999999964,31.0,7.0,13.0,7.0,45,19,6.0,45,18,52,39,25.0,56,49,18,70.0,4.0,57,36,30,67,35,73,8.0,58,55,70,41,62,34,36,57,32,12,68,51,39,39,52,2.0,41,15.0,6.0,14,24,8.0,52,35,49,33
2016-01,-0.20000000000000018,37.0,13.0,13.0,11.0,48,25,9.0,46,22,66,43,24.0,78,61,25,83.0,5.0,65,57,36,68,32,35,12.0,42,55,68,59,46,38,40,73,39,14,20,66,46,46,62,4.0,40,21.0,5.0,18,28,9.0,45,44,53,30
2016-02,0.10000000000000053,35.0,12.0,11.0,10.0,48,22,10.0,44,24,63,44,23.0,67,65,28,86.0,5.0,61,50,36,68,32,30,12.0,34,48,65,50,38,42,40,74,37,12,22,62,47,50,57,3.0,33,21.0,5.0,18,26,8.0,46,46,65,32
2016-03,0.09999999999999964,38.0,12.0,11.0,11.0,48,23,10.0,48,21,63,44,23.0,63,58,41,86.0,5.0,64,47,37,69,31,31,12.0,33,49,69,50,40,39,36,71,32,12,23,59,47,63,56,3.0,32,19.0,4.0,12,24,9.0,54,45,52,29
2016-04,0.09999999999999964,34.0,14.0,12.0,13.0,45,22,11.0,54,22,59,41,23.0,67,59,47,86.0,5.0,59,50,38,66,31,42,14.0,35,53,69,53,42,38,35,71,37,12,18,61,45,69,56,3.0,37,20.0,5.0,12,25,9.0,54,74,53,30
2016-05,-0.2999999999999998,39.0,17.0,14.0,14.0,48,24,10.0,58,21,65,44,26.0,75,51,48,87.0,6.0,64,55,37,67,38,28,15.0,40,59,83,59,43,40,35,68,37,12,16,66,45,69,58,3.0,44,27.0,6.0,14,26,11.0,52,44,46,29
2016-06,0.10000000000000053,42.0,19.0,15.0,16.0,52,25,12.0,72,19,65,41,31.0,75,49,45,94.0,5.0,54,58,37,65,48,26,17.0,42,65,95,64,51,39,38,69,36,12,17,66,41,64,61,2.0,47,33.0,8.0,14,26,15.0,47,41,54,40
2016-07,-0.10000000000000053,43.0,18.0,16.0,14.0,45,24,11.0,71,18,63,41,30.0,70,46,36,87.0,5.0,48,55,36,61,38,29,16.0,42,63,91,60,49,38,37,62,38,11,19,62,41,58,58,3.0,42,29.0,6.0,11,25,15.0,40,40,57,22
2016-08,0.10000000000000053,41.0,19.0,16.0,15.0,52,28,14.0,70,24,64,44,30.0,69,52,37,93.0,6.0,47,59,36,66,37,25,16.0,44,59,81,57,50,39,37,64,39,12,25,67,43,62,61,3.0,40,22.0,6.0,12,25,13.0,45,46,65,22
2016-09,0.09999999999999964,39.0,19.0,19.0,15.0,48,28,18.0,65,38,63,41,37.0,65,63,38,87.0,6.0,53,56,33,66,48,32,16.0,55,57,74,53,65,38,38,66,39,12,23,66,48,51,55,3.0,43,25.0,6.0,10,22,14.0,42,41,58,31
2016-10,-0.09999999999999964,36.0,18.0,22.0,13.0,43,27,15.0,67,35,60,40,41.0,64,56,33,82.0,6.0,51,52,31,66,52,34,15.0,57,57,83,48,64,38,32,66,35,10,18,64,51,42,57,2.0,47,24.0,7.0,13,20,11.0,38,38,62,41
2016-11,-0.20000000000000018,33.0,18.0,19.0,14.0,42,25,12.0,63,29,56,39,36.0,59,51,30,73.0,5.0,47,45,30,58,46,39,15.0,64,57,98,46,68,35,31,63,32,10,18,61,49,39,50,2.0,43,27.0,8.0,9,19,15.0,36,34,53,30
2016-12,0.0,32.0,18.0,17.0,15.0,43,22,12.0,51,25,52,35,32.0,57,47,28,68.0,5.0,40,42,28,54,35,41,16.0,56,53,79,46,54,34,28,61,31,10,22,54,47,32,49,1.0,37,24.0,8.0,9,18,15.0,35,30,51,28
2017-01,0.0,42.0,26.0,23.0,19.0,48,29,22.0,57,29,65,49,48.0,83,61,36,89.0,7.0,54,63,36,66,39,32,22.0,46,59,81,61,47,41,39,79,40,12,24,72,53,47,64,2.0,40,35.0,15.0,13,24,20.0,46,45,68,36
2017-02,-0.10000000000000053,37.0,22.0,15.0,17.0,47,24,19.0,49,87,58,41,38.0,69,60,31,86.0,7.0,50,53,34,62,34,31,17.0,37,52,73,51,39,40,34,75,39,11,22,67,61,47,56,2.0,36,27.0,11.0,11,20,18.0,47,42,72,41
2017-03,-0.1999999999999993,44.0,22.0,17.0,15.0,48,25,17.0,53,41,62,44,38.0,74,56,32,89.0,7.0,53,50,35,65,38,28,17.0,39,51,74,49,44,40,35,81,37,11,21,62,58,61,57,3.0,36,28.0,15.0,12,19,16.0,49,43,75,36
2017-04,0.0,56.0,23.0,32.0,17.0,49,32,17.0,55,28,61,40,50.0,73,53,40,80.0,7.0,53,52,34,67,39,30,18.0,37,53,74,49,40,40,30,70,37,11,23,68,57,56,54,3.0,37,30.0,17.0,11,18,14.0,45,51,72,49
2017-05,0.0,47.0,29.0,25.0,20.0,60,30,20.0,66,39,65,43,46.0,81,54,36,82.0,8.0,63,61,36,70,46,31,26.0,40,59,84,59,48,41,33,76,40,11,22,71,58,73,61,2.0,45,42.0,15.0,14,20,21.0,47,42,61,42
2017-06,-0.10000000000000053,50.0,35.0,31.0,23.0,59,32,26.0,75,26,69,43,55.0,83,47,38,79.0,9.0,59,67,36,70,53,31,32.0,43,67,79,67,53,42,32,86,41,12,19,73,55,65,64,3.0,50,49.0,15.0,17,21,24.0,45,46,66,38
2017-07,0.0,45.0,36.0,43.0,22.0,62,33,30.0,75,37,68,42,66.0,95,43,39,81.0,9.0,49,68,34,65,46,36,30.0,46,69,84,66,52,39,35,72,48,11,21,75,57,57,64,3.0,48,41.0,22.0,20,19,26.0,45,43,68,43
2017-08,0.10000000000000053,62.0,38.0,46.0,24.0,61,40,36.0,73,34,71,45,66.0,87,52,43,83.0,10.0,56,75,34,76,50,37,32.0,49,65,88,66,60,41,38,76,48,11,23,81,59,68,72,4.0,49,40.0,22.0,20,20,26.0,42,45,78,40
2017-09,-0.10000000000000053,42.0,37.0,39.0,28.0,55,31,32.0,67,65,65,40,60.0,83,60,36,74.0,10.0,55,70,32,71,58,36,36.0,46,59,79,61,61,40,36,76,40,10,19,76,63,46,73,3.0,51,43.0,28.0,18,18,26.0,46,40,91,46
2017-10,-0.09999999999999964,43.0,39.0,42.0,30.0,50,34,34.0,65,52,64,45,66.0,86,57,36,74.0,10.0,58,70,33,74,66,37,37.0,58,62,75,59,76,38,35,76,49,10,21,80,65,44,71,2.0,56,40.0,24.0,15,17,26.0,48,42,80,44
2017-11,0.0,48.0,37.0,36.0,26.0,45,31,33.0,69,37,57,39,54.0,74,50,34,66.0,9.0,49,62,29,65,58,39,33.0,63,63,85,58,87,36,33,73,39,10,14,69,58,39,61,2.0,53,42.0,23.0,14,15,29.0,40,36,64,43
2017-12,-0.10000000000000053,50.0,35.0,26.0,20.0,45,27,31.0,60,28,53,35,44.0,71,44,29,58.0,8.0,43,54,26,55,42,50,27.0,55,58,72,52,69,33,28,63,35,9,11,60,52,35,56,1.0,41,40.0,20.0,14,13,28.0,36,32,54,29
2018-01,-0.09999999999999964,69.0,48.0,33.0,32.0,66,45,47.0,73,39,68,56,54.0,92,61,41,84.0,11.0,64,80,34,75,52,33,41.0,45,72,83,71,55,40,35,84,47,12,10,83,60,52,72,3.0,51,57.0,26.0,19,18,34.0,45,44,73,30
2018-02,0.09999999999999964,47.0,42.0,24.0,27.0,54,32,39.0,59,51,62,44,46.0,76,56,35,75.0,10.0,58,67,33,71,40,30,34.0,37,55,61,58,46,38,36,80,45,11,13,74,65,59,61,2.0,40,45.0,22.0,18,16,32.0,49,42,67,36
2018-03,-0.09999999999999964,53.0,43.0,24.0,27.0,50,32,38.0,66,37,62,44,43.0,74,51,35,72.0,12.0,56,65,33,67,43,29,36.0,37,56,72,56,43,39,34,83,44,10,13,73,64,68,69,2.0,42,42.0,23.0,17,14,30.0,46,45,65,38
2018-04,0.0,59.0,45.0,25.0,31.0,53,33,43.0,70,37,64,44,45.0,73,51,35,74.0,11.0,56,68,35,69,44,29,39.0,40,58,76,61,45,39,34,80,47,10,10,77,61,72,62,4.0,42,49.0,24.0,17,14,28.0,50,60,67,29
2018-05,-0.20000000000000018,45.0,54.0,27.0,41.0,53,34,49.0,73,30,67,45,43.0,81,48,35,72.0,12.0,58,73,33,67,46,27,47.0,44,63,80,70,53,38,35,78,48,23,12,78,62,78,69,1.0,51,62.0,22.0,16,14,38.0,48,42,67,32
2018-06,0.20000000000000018,57.0,62.0,30.0,49.0,55,38,57.0,86,32,68,46,49.0,83,43,37,75.0,13.0,48,80,32,61,52,29,56.0,52,71,92,79,66,39,38,74,52,44,9,83,61,68,73,2.0,54,73.0,27.0,21,14,45.0,46,42,68,35
2018-07,-0.20000000000000018,55.0,63.0,35.0,46.0,55,40,57.0,91,33,69,47,57.0,85,43,39,69.0,14.0,46,82,33,62,54,33,53.0,53,70,86,75,66,38,38,84,55,43,11,85,61,60,73,2.0,52,61.0,31.0,23,15,44.0,41,44,61,37
2018-08,0.0,54.0,67.0,45.0,47.0,57,47,64.0,93,51,72,52,63.0,84,48,47,74.0,15.0,52,89,34,66,53,36,53.0,53,71,84,74,67,38,36,88,65,14,13,91,73,61,75,2.0,54,53.0,27.0,23,16,42.0,45,46,73,40
2018-09,-0.09999999999999964,49.0,64.0,36.0,44.0,42,41,58.0,84,89,67,48,59.0,81,57,40,69.0,14.0,57,83,30,75,60,37,50.0,54,65,77,69,68,36,37,84,58,12,10,88,75,48,72,2.0,57,59.0,26.0,24,13,43.0,45,42,84,44
2018-10,0.09999999999999964,44.0,63.0,69.0,44.0,48,42,55.0,82,66,65,49,95.0,75,56,40,70.0,14.0,59,79,30,75,79,62,52.0,61,65,77,69,85,37,37,81,56,12,11,84,76,45,65,2.0,64,55.0,23.0,20,13,45.0,45,44,81,33
2018-11,0.0,45.0,59.0,59.0,44.0,41,34,52.0,71,42,59,39,82.0,69,48,36,61.0,13.0,46,71,27,57,60,63,50.0,64,65,74,66,80,34,33,76,48,10,12,75,70,36,62,1.0,60,55.0,25.0,19,10,46.0,40,35,64,33
2018-12,0.10000000000000009,52.0,57.0,42.0,42.0,48,30,48.0,59,33,54,38,57.0,63,41,32,52.0,12.0,39,65,24,49,47,46,48.0,50,59,63,63,56,32,25,68,41,9,9,71,60,37,54,1.0,50,45.0,28.0,17,10,43.0,35,31,52,30
2019-01,0.10000000000000009,68.0,73.0,45.0,58.0,55,46,71.0,73,51,71,67,61.0,83,55,44,73.0,15.0,57,93,32,67,54,37,62.0,46,74,70,83,55,39,35,89,64,11,14,94,71,50,76,2.0,56,70.0,35.0,28,15,57.0,44,44,70,39
2019-02,-0.20000000000000018,62.0,66.0,38.0,48.0,53,35,60.0,65,57,65,43,59.0,70,53,37,73.0,14.0,54,76,31,60,44,39,53.0,39,62,61,68,47,40,30,87,51,10,13,83,75,51,74,1.0,46,55.0,34.0,23,14,50.0,38,45,72,34
2019-03,0.0,57.0,65.0,34.0,45.0,44,34,58.0,64,42,63,42,54.0,64,50,37,67.0,15.0,49,71,31,57,37,38,50.0,34,57,57,66,41,37,34,92,48,10,10,79,72,56,59,2.0,41,52.0,30.0,24,12,44.0,39,44,64,34
2019-04,-0.19999999999999973,69.0,69.0,33.0,53.0,46,33,59.0,70,45,64,42,55.0,65,48,35,78.0,15.0,53,77,32,57,46,39,57.0,36,59,55,70,45,38,33,95,48,10,11,83,68,69,62,1.0,52,54.0,32.0,32,12,44.0,44,59,65,33
2019-05,0.0,68.0,83.0,43.0,76.0,55,38,75.0,87,35,67,43,72.0,73,45,37,85.0,16.0,55,83,31,64,52,53,76.0,42,67,72,84,51,37,32,87,50,23,13,88,70,85,63,2.0,58,71.0,33.0,28,13,58.0,44,44,65,34
2019-06,0.0,79.0,92.0,48.0,86.0,48,39,79.0,100,32,71,43,72.0,76,42,39,92.0,17.0,48,90,31,62,64,63,89.0,46,73,79,98,62,39,32,90,55,11,10,91,71,69,77,2.0,61,79.0,37.0,28,15,65.0,41,44,67,35
2019-07,0.10000000000000009,79.0,90.0,51.0,72.0,54,47,80.0,96,35,72,47,74.0,76,41,44,87.0,18.0,44,90,30,57,63,68,76.0,48,72,73,88,60,38,35,91,54,10,12,88,68,67,80,2.0,59,69.0,37.0,30,14,67.0,47,44,82,44
2019-08,0.0,80.0,94.0,49.0,78.0,45,46,88.0,97,59,72,48,73.0,76,45,40,84.0,18.0,52,93,30,62,64,75,81.0,50,71,74,92,64,37,35,95,58,10,12,94,76,67,72,1.0,59,60.0,38.0,34,12,66.0,44,44,79,39
2019-09,-0.20000000000000018,77.0,89.0,52.0,74.0,52,43,80.0,92,100,66,45,76.0,71,57,39,84.0,18.0,58,88,29,70,75,75,76.0,52,67,68,84,71,36,34,90,55,9,12,92,81,52,69,2.0,62,60.0,32.0,27,11,61.0,45,42,91,53
2019-10,0.10000000000000009,78.0,88.0,57.0,78.0,46,39,79.0,90,81,64,46,80.0,68,51,38,86.0,18.0,56,84,27,72,85,82,78.0,62,68,64,85,89,35,33,91,50,9,13,88,78,47,63,2.0,67,57.0,36.0,26,10,66.0,44,41,96,43
